seq_name,time_anno,ann_frames,vid_frames,dataset,split
paragliding-launch,"{'1': [[0, 79]]}",80,80,davis,test
parkour,"{'1': [[0, 99]]}",100,100,davis,test
pigs,"{'1': [[0, 78]], '3': [[0, 78]], '2': [[0, 78]]}",79,79,davis,test
soapbox,"{'1': [[0, 98]], '2': [[0, 98]], '3': [[0, 98]]}",99,99,davis,test
00ad5016a4,"{'1': [[0, 18]]}",19,91,ytvos,train
0a2f2bd294,"{'1': [[0, 19]]}",20,96,ytvos,train
0a7a2514aa,{},20,96,ytvos,train
0a275e7f12,"{'1': [[0, 19]]}",20,96,ytvos,train
0b7dbfa3cb,"{'1': [[0, 18]]}",19,91,ytvos,train
0b9cea51ca,"{'1': [[0, 35]]}",36,180,ytvos,train
0b1627e896,"{'1': [[0, 19]]}",20,96,ytvos,train
0bcfc4177d,"{'1': [[0, 19]]}",20,96,ytvos,train
0bd864064c,"{'1': [[0, 31]]}",32,158,ytvos,train
0c3a04798c,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
0c26bc77ac,"{'1': [[0, 35]]}",36,180,ytvos,train
0cfe974a89,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
0d97fba242,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
0db5c427a5,"{'1': [[0, 19]]}",20,96,ytvos,train
0dbaf284f1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,97,ytvos,train
0de4923598,"{'1': [[0, 19]]}",20,97,ytvos,train
0df28a9101,"{'1': [[0, 11], [19, 29]], '2': [[0, 13], [19, 29]]}",30,150,ytvos,train
0e04f636c4,{},30,150,ytvos,train
0e9ebe4e3c,"{'1': [[0, 18]]}",19,92,ytvos,train
0e9f2785ec,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
0e803c7d73,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[5, 13]]}",19,91,ytvos,train
0e30020549,"{'1': [[0, 28]]}",29,144,ytvos,train
0ea68d418b,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
0eb403a222,"{'2': [[0, 11]], '1': [[0, 11]]}",20,96,ytvos,train
0f1ac8e9a3,{},36,180,ytvos,train
0f6c2163de,"{'1': [[0, 28]]}",29,144,ytvos,train
0f17fa6fcb,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
0f9683715b,"{'1': [[0, 19]]}",20,96,ytvos,train
0fc958cde2,"{'1': [[0, 29]]}",30,150,ytvos,train
01b80e8e1a,"{'1': [[0, 12]], '2': [[0, 12]]}",13,61,ytvos,train
01ff60d1fa,"{'1': [[0, 2], [6, 7], [13, 15], [33, 35]]}",36,180,ytvos,train
1a6f3b5a4b,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
1ab27ec7ea,"{'1': [[0, 11]]}",12,56,ytvos,train
1b3fa67f0e,"{'1': [[0, 18]]}",19,92,ytvos,train
1b96a498e5,"{'1': [[0, 29]]}",30,150,ytvos,train
1b8898785b,"{'1': [[0, 35]]}",36,180,ytvos,train
1bbc4c274f,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
1bd87fe9ab,"{'1': [[0, 13]]}",14,66,ytvos,train
1c9f9eb792,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
1c72b04b56,"{'1': [[0, 35]]}",36,180,ytvos,train
1c41934f84,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
1c87955a3a,"{'1': [[0, 10], [14, 29]]}",30,150,ytvos,train
1da256d146,"{'1': [[0, 18]]}",19,91,ytvos,train
1dce57d05d,{},18,86,ytvos,train
1de4a9e537,"{'1': [[0, 19]]}",20,97,ytvos,train
1dec5446c8,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
1dfbe6f586,"{'1': [[0, 29]]}",30,150,ytvos,train
1e4be70796,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
1ecdc2941c,{},36,180,ytvos,train
1f1beb8daa,"{'1': [[0, 29]]}",30,150,ytvos,train
1fc9538993,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
1fe2f0ec59,"{'1': [[0, 29]]}",30,150,ytvos,train
02f3a5c4df,"{'1': [[0, 9]], '2': [[0, 9]], '3': [[0, 9]]}",10,46,ytvos,train
2a8c5b1342,"{'1': [[8, 14], [17, 19]], '2': [[0, 19]]}",20,96,ytvos,train
2a3824ff31,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
2a18873352,"{'1': [[3, 18]], '2': [[0, 18]]}",19,92,ytvos,train
2b69ee5c26,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
2b351bfd7d,"{'1': [[0, 35]]}",36,180,ytvos,train
2bb00c2434,"{'1': [[0, 18]]}",19,91,ytvos,train
2bbde474ef,"{'1': [[9, 18]]}",19,92,ytvos,train
2bdd82fb86,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
2bf545c2f5,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
2c1e8c8e2f,"{'1': [[0, 35]]}",36,180,ytvos,train
2c2c076c01,"{'1': [[0, 35]]}",36,180,ytvos,train
2c29fabcf1,"{'1': [[0, 8], [15, 19]]}",20,96,ytvos,train
2cbcd5ccd1,"{'1': [[0, 35]]}",36,180,ytvos,train
2cd01cf915,"{'1': [[27, 32]]}",36,180,ytvos,train
2cdbf5f0a7,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
2d4d015c64,"{'1': [[5, 19]], '2': [[0, 19]]}",20,96,ytvos,train
2d900bdb8e,"{'1': [[5, 18], [30, 32]], '2': [[6, 18]]}",36,180,ytvos,train
2dcc417f82,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
2e42410932,"{'1': [[0, 17]]}",18,87,ytvos,train
2ebb017a26,"{'1': [[0, 31]]}",36,180,ytvos,train
2ee2edba2a,"{'1': [[0, 19]]}",20,96,ytvos,train
2f17e4fc1e,"{'1': [[0, 19]]}",20,96,ytvos,train
2f309c206b,"{'1': [[0, 35]]}",36,180,ytvos,train
2f710f66bd,"{'1': [[0, 35]]}",36,180,ytvos,train
2f724132b9,"{'1': [[3, 6]]}",19,91,ytvos,train
2fc9520b53,"{'1': [[0, 35]], '2': [[10, 25], [33, 35]], '3': [[9, 17], [28, 35]], '4': [[17, 26]]}",36,180,ytvos,train
2feb30f208,"{'1': [[0, 17]]}",18,87,ytvos,train
2ff7f5744f,"{'1': [[0, 4], [16, 29]]}",30,150,ytvos,train
03a63e187f,"{'1': [[12, 13], [16, 26]]}",36,180,ytvos,train
03e2b57b0e,"{'1': [[0, 3], [7, 29]]}",30,150,ytvos,train
3a0d3a81b7,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
3a2c1f66e5,"{'1': [[0, 26]], '2': [[0, 29]], '3': [[0, 18], [27, 29]]}",30,150,ytvos,train
3a4e32ed5e,"{'1': [[4, 35]], '2': [[4, 35]]}",36,180,ytvos,train
3a7bdde9b8,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
3a20a7583e,"{'1': [[0, 19]]}",20,96,ytvos,train
3a33f4d225,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
3b6c7988f6,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 18]]}",19,91,ytvos,train
3b6e983b5b,"{'1': [[0, 35]]}",36,180,ytvos,train
3b7a50b80d,"{'1': [[0, 35]]}",36,180,ytvos,train
3b9ad0c5a9,"{'1': [[10, 29]]}",30,150,ytvos,train
3b512dad74,"{'1': [[0, 8], [21, 28]]}",29,144,ytvos,train
3beef45388,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
3c47ab95f8,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
3c90d225ee,"{'1': [[0, 35]]}",36,180,ytvos,train
3c700f073e,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
3c713cbf2f,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
3c2784fc0d,"{'1': [[7, 28]]}",29,144,ytvos,train
3c090704aa,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
3cd5e035ef,"{'1': [[5, 10], [17, 26], [28, 35]]}",36,180,ytvos,train
3d690473e1,"{'1': [[11, 13], [29, 35]], '2': [[23, 35]]}",36,180,ytvos,train
3e7d2aeb07,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
3e91f10205,"{'2': [[0, 5]], '1': [[0, 2]]}",6,26,ytvos,train
3ec273c8d5,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
3ee062a2fd,"{'1': [[0, 35]]}",36,180,ytvos,train
04d62d9d98,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
4a4b50571c,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
4a50f3d2e9,"{'1': [[0, 19]]}",20,96,ytvos,train
4a86fcfc30,"{'1': [[0, 7]]}",36,180,ytvos,train
4a885fa3ef,"{'1': [[0, 16], [21, 23]]}",29,144,ytvos,train
4a7191f08a,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
4a341402d0,"{'1': [[0, 6], [15, 32]], '2': [[15, 21]]}",36,180,ytvos,train
4aa2e0f865,"{'1': [[0, 15], [21, 35]]}",36,180,ytvos,train
4abb74bb52,"{'1': [[0, 19]]}",20,96,ytvos,train
4b19c529fb,"{'1': [[0, 19]], '2': [[0, 11], [17, 19]]}",20,96,ytvos,train
4b54d2587f,"{'1': [[0, 35]]}",36,180,ytvos,train
4b97cc7b8d,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
4bffa92b67,{},28,138,ytvos,train
4c25dfa8ec,{},20,96,ytvos,train
4c7710908f,"{'1': [[0, 19], [22, 35]]}",36,180,ytvos,train
4e3f346aa5,"{'1': [[0, 18]]}",19,92,ytvos,train
4e7a28907f,"{'1': [[0, 13]]}",14,66,ytvos,train
4e824b9247,"{'1': [[0, 15], [23, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
4f35be0e0b,{},20,96,ytvos,train
4f424abded,"{'1': [[0, 35]]}",36,180,ytvos,train
4f470cc3ae,"{'1': [[0, 20], [23, 28]], '2': [[0, 10], [16, 28]]}",29,144,ytvos,train
4facd8f0e8,"{'1': [[3, 19]], '2': [[2, 7]]}",20,96,ytvos,train
4fffec8479,"{'1': [[0, 19]]}",20,96,ytvos,train
005a527edd,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
05a569d8aa,"{'1': [[0, 18]], '2': [[0, 5], [10, 18]]}",19,91,ytvos,train
05aa652648,"{'1': [[4, 29]]}",30,150,ytvos,train
5a4a785006,"{'1': [[0, 19]]}",20,96,ytvos,train
5a13a73fe5,"{'3': [[0, 19]], '2': [[6, 10]], '1': [[0, 5]]}",20,96,ytvos,train
5a25c22770,"{'1': [[0, 29]]}",30,150,ytvos,train
5a91c5ab6d,"{'1': [[0, 29]]}",30,150,ytvos,train
5a841e59ad,"{'1': [[0, 35]]}",36,180,ytvos,train
5abe46ba6d,"{'1': [[0, 18]]}",19,91,ytvos,train
5ac7c88d0c,"{'1': [[0, 35]]}",36,180,ytvos,train
5af15e4fc3,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
5afe381ae4,{},20,96,ytvos,train
5b1df237d2,"{'1': [[0, 35]]}",36,180,ytvos,train
5b5babc719,"{'1': [[0, 35]]}",36,180,ytvos,train
5b07b4229d,"{'1': [[0, 10]], '2': [[0, 10]]}",11,51,ytvos,train
5b263013bf,{},19,91,ytvos,train
5bab55cdbe,"{'1': [[0, 17]]}",36,180,ytvos,train
5bafef6e79,{},20,96,ytvos,train
5bd1f84545,"{'1': [[5, 22]], '2': [[0, 6], [22, 25], [33, 35]]}",36,180,ytvos,train
5bf23bc9d3,"{'1': [[0, 35]]}",36,180,ytvos,train
5c42aba280,"{'1': [[0, 35]]}",36,180,ytvos,train
5c74315dc2,"{'1': [[0, 35]]}",36,180,ytvos,train
5c7668855e,"{'1': [[0, 18]]}",19,92,ytvos,train
5ca36173e4,{},20,96,ytvos,train
5cb0cb1b2f,"{'1': [[0, 19]]}",20,96,ytvos,train
5cbf7dc388,"{'3': [[8, 18]], '1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
5d0e07d126,"{'1': [[0, 19]]}",20,96,ytvos,train
5da6b2dc5d,"{'1': [[0, 35]]}",36,180,ytvos,train
5e8d00b974,{},36,180,ytvos,train
5e886ef78f,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
5e4849935a,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
5ede4d2f7a,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
5eecf07824,"{'1': [[6, 29]]}",36,180,ytvos,train
5eef7ed4f4,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
5ef6573a99,"{'1': [[0, 19]]}",20,96,ytvos,train
5f6ebe94a9,"{'1': [[0, 17]]}",18,86,ytvos,train
5f6f14977c,{},19,91,ytvos,train
5f1193e72b,"{'1': [[0, 18]]}",19,91,ytvos,train
5f51876986,"{'1': [[0, 19]]}",20,96,ytvos,train
5fb8aded6a,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
5fd1c7a3df,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
5fd3da9f68,"{'1': [[0, 8], [11, 18]]}",19,91,ytvos,train
6a5de0535f,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
6a37a91708,"{'1': [[0, 14]]}",15,71,ytvos,train
6a80d2e2e5,"{'2': [[0, 9], [13, 19]], '1': [[0, 19]]}",20,96,ytvos,train
6a96c8815d,"{'1': [[0, 35]]}",36,180,ytvos,train
6a5977be3a,"{'1': [[0, 4], [17, 19], [29, 30]]}",36,180,ytvos,train
6a986084e2,{},20,96,ytvos,train
6abf0ba6b2,"{'1': [[0, 35]]}",36,180,ytvos,train
6acc6049d9,"{'1': [[3, 5], [9, 19]]}",20,96,ytvos,train
6b2261888d,"{'1': [[0, 19]], '2': [[3, 6], [9, 13]]}",20,96,ytvos,train
6ba99cc41f,"{'1': [[0, 18]]}",19,91,ytvos,train
6bdab62bcd,"{'1': [[0, 17]], '2': [[0, 17]]}",18,86,ytvos,train
6bf95df2b9,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
6c9d29d509,"{'1': [[4, 18]]}",19,91,ytvos,train
6c9e3b7d1a,"{'1': [[0, 18]]}",19,91,ytvos,train
6c81b014e9,{},20,96,ytvos,train
6c99ea7c31,"{'1': [[0, 5]]}",19,92,ytvos,train
6c623fac5f,"{'1': [[0, 7]]}",8,36,ytvos,train
6c0949c51c,"{'1': [[0, 35]]}",36,180,ytvos,train
6c4387daf5,{},20,96,ytvos,train
6c5123e4bc,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
6ca006e283,"{'1': [[0, 19]]}",20,96,ytvos,train
6caeb928d6,"{'1': [[0, 35]]}",36,180,ytvos,train
6cbfd32c5e,"{'1': [[12, 14], [17, 24], [32, 35]]}",36,180,ytvos,train
6d6d2b8843,"{'1': [[0, 18]]}",19,91,ytvos,train
6dd2827fbb,{},20,96,ytvos,train
6e2f834767,"{'1': [[0, 35]]}",36,180,ytvos,train
6e4f460caf,"{'1': [[0, 19]]}",20,96,ytvos,train
6e36e4929a,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
6ead4670f7,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
6eaff19b9f,"{'1': [[0, 35]]}",36,180,ytvos,train
6eb2e1cd9e,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
6eca26c202,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
6f49f522ef,"{'1': [[0, 19]]}",20,96,ytvos,train
07cc1c7d74,"{'1': [[7, 23]]}",36,180,ytvos,train
7a3c535f70,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
7a8b5456ca,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
7a14bc9a36,{},20,96,ytvos,train
7b18b3db87,"{'1': [[0, 35]], '2': [[22, 35]]}",36,180,ytvos,train
7b918ccb8a,"{'1': [[0, 29]]}",30,150,ytvos,train
7b5388c9f1,"{'1': [[9, 10], [22, 23], [34, 35]]}",36,180,ytvos,train
7ba3ce3485,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
7bb0abc031,"{'1': [[0, 35]]}",36,180,ytvos,train
7bb5bb25cd,"{'1': [[4, 5], [12, 14]]}",36,180,ytvos,train
7bf3820566,"{'1': [[0, 19]]}",20,96,ytvos,train
7c03a18ec1,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
7c649c2aaf,"{'1': [[0, 35]]}",36,180,ytvos,train
7c73340ab7,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
7d0ffa68a4,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
7d11b4450f,"{'1': [[0, 16]]}",17,81,ytvos,train
7d18c8c716,"{'2': [[0, 19]], '1': [[0, 19]]}",20,96,ytvos,train
7d508fb027,"{'1': [[0, 23]], '2': [[0, 35]]}",36,180,ytvos,train
7d783f67a9,"{'1': [[0, 19]]}",20,96,ytvos,train
7de45f75e5,"{'1': [[0, 29]]}",30,150,ytvos,train
7e0cd25696,"{'1': [[8, 29]]}",30,150,ytvos,train
7e1e3bbcc1,"{'1': [[7, 17], [21, 35]]}",36,180,ytvos,train
7e2f212fd3,{},20,96,ytvos,train
7e7cdcb284,"{'1': [[0, 28]], '2': [[0, 16], [22, 28]]}",29,144,ytvos,train
7e24023274,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
7eb26b8485,"{'1': [[0, 35]]}",36,180,ytvos,train
7eb2605d96,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
7f1723f0d5,"{'1': [[0, 5], [10, 19]], '2': [[10, 13]]}",20,97,ytvos,train
7f54132e48,"{'1': [[0, 28]]}",29,144,ytvos,train
7f3658460e,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
7ff84d66dd,{},30,150,ytvos,train
08aa2705d5,"{'1': [[4, 35]]}",36,180,ytvos,train
08c8450db7,{},20,96,ytvos,train
08feb87790,"{'1': [[0, 19]]}",20,96,ytvos,train
8a4a2fc105,"{'1': [[0, 19]]}",20,96,ytvos,train
8a31f7bca5,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
8a75ad7924,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]], '4': [[0, 35]]}",36,180,ytvos,train
8aa817e4ed,"{'1': [[0, 17]]}",18,87,ytvos,train
8ae168c71b,"{'1': [[0, 19]]}",20,96,ytvos,train
8b518ee936,"{'1': [[0, 18]]}",19,92,ytvos,train
8b3645d826,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
8b3805dbd4,"{'1': [[0, 25], [32, 35]], '2': [[19, 35]]}",36,180,ytvos,train
8b91036e5c,"{'1': [[0, 14]]}",29,144,ytvos,train
8ba782192f,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
8bbeaad78b,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
8bd7a2dda6,"{'1': [[0, 19]], '2': [[6, 8]]}",30,150,ytvos,train
8bf84e7d45,"{'1': [[0, 35]]}",36,180,ytvos,train
8bffc4374b,"{'1': [[0, 13]]}",14,66,ytvos,train
8bfff50747,"{'1': [[0, 35]], '2': [[0, 8], [16, 35]]}",36,180,ytvos,train
8c0a3251c3,"{'1': [[0, 35]]}",36,180,ytvos,train
8c3015cccb,"{'1': [[0, 35]]}",36,180,ytvos,train
8c469815cf,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
8c09867481,"{'1': [[0, 28]]}",29,144,ytvos,train
8ca3f6e6c1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
8ca6a4f60f,"{'1': [[0, 19]]}",20,96,ytvos,train
8cba221a1e,"{'1': [[0, 17], [26, 35]]}",36,180,ytvos,train
8cbbe62ccd,"{'1': [[13, 35]], '2': [[0, 35]]}",36,180,ytvos,train
8d4ab94e1c,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
8d064b29e2,"{'1': [[0, 18]]}",19,92,ytvos,train
8d81f6f899,"{'1': [[0, 35]]}",36,180,ytvos,train
8d167e7c08,"{'1': [[0, 18]]}",19,91,ytvos,train
8dcccd2bd2,"{'1': [[0, 10], [18, 27]]}",36,180,ytvos,train
8dcfb878a8,"{'1': [[0, 10], [15, 19], [24, 29]]}",30,150,ytvos,train
8dda6bf10f,"{'1': [[0, 19]]}",20,96,ytvos,train
8e478e73f3,"{'1': [[0, 18]]}",19,91,ytvos,train
8eb0d315c1,"{'1': [[8, 18]]}",19,91,ytvos,train
8ecf51a971,"{'1': [[0, 29]], '2': [[0, 29]], '3': [[0, 29]]}",30,150,ytvos,train
8eddbab9f7,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
8ef595ce82,"{'1': [[0, 29]]}",30,150,ytvos,train
8f0a653ad7,"{'1': [[11, 14]]}",30,150,ytvos,train
8f1ce0a411,"{'1': [[0, 18]]}",19,92,ytvos,train
8f3b4a84ad,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
8f8c974d53,"{'1': [[0, 23]]}",24,120,ytvos,train
8f62a2c633,"{'1': [[20, 35]]}",36,180,ytvos,train
8f320d0e09,"{'1': [[0, 19]]}",20,96,ytvos,train
8f918598b6,"{'2': [[3, 19]], '1': [[0, 19]]}",20,96,ytvos,train
09a348f4fa,"{'1': [[0, 5], [21, 26]]}",30,150,ytvos,train
09a6841288,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
09c5bad17b,"{'1': [[0, 19]]}",20,96,ytvos,train
9a02c70ba2,"{'1': [[0, 19]], '2': [[0, 14]]}",20,96,ytvos,train
9a4e9fd399,"{'1': [[0, 4], [9, 14], [25, 29], [33, 35]]}",36,180,ytvos,train
